customer_class,month_1_consumption,month_2_consumption,month_3_consumption,month_4_consumption,month_1_month,month_2_month,month_3_month,month_4_month,avg_consumption,consumption_trend,next_month_consumption
RESIDENT,21.37,20.89,27.88,30.1,2,3,4,5,25.06,2.91,34.76
RESIDENT,35.34,35.76,38.52,37.68,4,5,6,7,36.83,0.78,30.71
RESIDENT,22.06,18.71,20.36,23.42,2,3,4,5,21.14,0.45,23.51
ORGANIZATION,118.82,108.83,112.81,136.83,2,3,4,5,119.32,6.0,119.56
FACTORY,1188.63,1021.69,946.47,1119.18,10,11,12,1,1068.99,-23.15,1039.14
RESIDENT,12.1,10.67,8.91,16.6,11,12,1,2,12.07,1.5,18.73
RESIDENT,6.12,8.64,10.79,16.82,12,1,2,3,10.59,3.57,14.9
RESIDENT,34.71,29.45,27.19,25.36,7,8,9,10,29.18,-3.12,23.13
ORGANIZATION,71.57,74.46,54.42,31.38,7,8,9,10,57.96,-13.4,64.69
RESIDENT,7.99,5.05,10.07,5.75,9,10,11,12,7.21,-0.75,7.56
RESIDENT,36.52,34.77,52.27,19.87,7,8,9,10,35.86,-5.55,27.14
RESIDENT,2.94,7.58,11.38,7.46,12,1,2,3,7.34,1.51,10.91
GOVERNMENT,439.65,410.53,531.74,379.45,8,9,10,11,440.34,-20.07,358.32
RESIDENT,30.42,29.15,32.96,29.59,10,11,12,1,30.53,-0.28,35.82
RESIDENT,31.39,31.14,35.18,30.13,5,6,7,8,31.96,-0.42,27.33
ORGANIZATION,188.97,195.27,162.43,174.24,8,9,10,11,180.23,-4.91,202.68
RESIDENT,27.99,27.59,23.91,26.68,9,10,11,12,26.54,-0.44,29.35
PUBLIC_SERVICE,77.28,65.89,60.49,75.89,2,3,4,5,69.89,-0.46,89.76
RESIDENT,14.69,9.29,5.91,12.38,9,10,11,12,10.57,-0.77,9.96
FACTORY,1148.23,1432.43,1219.94,1502.94,1,2,3,4,1325.88,118.24,1280.8
RESIDENT,33.32,27.48,29.25,26.72,9,10,11,12,29.19,-2.2,30.43
GOVERNMENT,526.67,477.74,453.8,506.72,6,7,8,9,491.23,-6.65,516.96
FACTORY,1075.41,1004.86,1023.74,972.07,11,12,1,2,1019.02,-34.45,1142.92
RESIDENT,23.27,17.71,19.23,11.49,8,9,10,11,17.93,-3.93,15.25
FACTORY,1284.35,1246.14,983.38,1060.26,5,6,7,8,1143.53,-74.7,970.06
RESIDENT,9.11,5.09,16.99,18.88,1,2,3,4,12.52,3.26,15.35
RESIDENT,36.77,34.45,42.06,36.3,4,5,6,7,37.39,-0.16,38.5
FACTORY,1319.03,1549.51,1166.23,1404.34,6,7,8,9,1359.78,28.44,1077.8
ORGANIZATION,132.9,141.38,119.27,120.03,8,9,10,11,128.39,-4.29,136.47
RESIDENT,26.98,33.83,31.54,34.96,12,1,2,3,31.83,2.66,36.98
RESIDENT,22.54,15.39,15.51,15.78,7,8,9,10,17.3,-2.25,11.8
ORGANIZATION,220.08,150.34,159.42,192.5,12,1,2,3,180.59,-9.19,179.95
RESIDENT,11.57,12.35,9.3,13.24,11,12,1,2,11.62,0.56,16.52
FACTORY,1769.15,1787.43,1724.95,1871.05,4,5,6,7,1788.14,33.97,1675.18
RESIDENT,12.74,10.61,13.46,16.91,10,11,12,1,13.43,1.39,16.9
FACTORY,396.19,425.87,561.51,643.91,11,12,1,2,506.87,82.57,637.45
RESIDENT,18.61,11.57,23.48,20.79,1,2,3,4,18.61,0.73,19.04
RESIDENT,12.08,8.09,12.37,18.44,9,10,11,12,12.75,2.12,15.94
RESIDENT,21.84,16.79,14.65,14.7,3,4,5,6,16.99,-2.38,12.75
FACTORY,848.47,707.8,824.99,997.48,10,11,12,1,844.69,49.67,1058.05
FACTORY,1586.1,1801.19,1516.01,1547.72,3,4,5,6,1612.76,-12.79,1461.25
RESIDENT,25.63,21.89,18.69,10.66,6,7,8,9,19.22,-4.99,11.76
RESIDENT,20.92,21.77,18.93,14.85,6,7,8,9,19.12,-2.02,15.86
RESIDENT,12.61,9.95,9.36,10.88,7,8,9,10,10.7,-0.58,0.5
RESIDENT,20.25,21.58,21.18,20.24,9,10,11,12,20.81,-0.0,23.94
RESIDENT,34.11,24.95,33.84,27.74,12,1,2,3,30.16,-2.12,32.25
RESIDENT,26.62,28.25,31.34,21.64,6,7,8,9,26.96,-1.66,18.7
PUBLIC_SERVICE,125.91,101.6,141.04,133.65,11,12,1,2,125.55,2.58,123.85
RESIDENT,22.1,26.92,23.96,21.81,8,9,10,11,23.7,-0.1,28.97
RESIDENT,40.77,46.32,37.07,38.35,5,6,7,8,40.63,-0.81,38.6
RESIDENT,25.67,21.51,25.51,22.65,9,10,11,12,23.84,-1.01,22.71
RESIDENT,28.07,22.2,23.06,18.56,8,9,10,11,22.97,-3.17,20.83
GOVERNMENT,478.45,435.66,632.69,373.32,5,6,7,8,480.03,-35.04,391.74
GOVERNMENT,411.96,454.89,457.59,351.11,6,7,8,9,418.89,-20.28,365.79
RESIDENT,2.86,0.74,4.37,4.23,10,11,12,1,3.05,0.46,5.47
GOVERNMENT,412.15,415.8,441.6,419.48,3,4,5,6,422.26,2.44,392.39
RESIDENT,13.0,16.71,17.02,19.27,11,12,1,2,16.5,2.09,23.04
PUBLIC_SERVICE,11.23,30.6,29.42,36.74,9,10,11,12,27.0,8.5,47.46
RESIDENT,23.88,27.21,24.3,23.78,6,7,8,9,24.79,-0.03,21.52
RESIDENT,15.61,26.6,19.4,20.54,3,4,5,6,20.54,1.64,20.4
RESIDENT,33.03,32.63,33.5,30.71,4,5,6,7,32.47,-0.77,33.17
ORGANIZATION,67.16,87.23,100.76,118.64,11,12,1,2,93.45,17.16,91.38
RESIDENT,37.18,42.9,43.92,37.62,4,5,6,7,40.41,0.15,39.12
RESIDENT,13.44,13.32,8.92,6.65,5,6,7,8,10.58,-2.26,5.12
GOVERNMENT,255.07,186.68,183.1,156.32,6,7,8,9,195.29,-32.92,185.52
RESIDENT,1.35,2.3,0.5,4.09,11,12,1,2,2.06,0.91,6.27
PUBLIC_SERVICE,61.36,30.87,28.7,16.41,8,9,10,11,34.34,-14.98,11.35
RESIDENT,5.46,5.87,4.78,5.26,11,12,1,2,5.34,-0.07,12.41
